,text,gpt_out
0,"diamond head, bent legs","['diamond head', 'bent legs']"
1,"diamond and one triangle head, triangle face pointing towards left","['diamond and one triangle head', 'triangle face pointing towards left']"
2,"diamond head, rectangle body, arm towards right, rectangle like body","['diamond head', 'rectangle body', 'arm towards right', 'rectangle like body']"
3,"diamond head, arm right, looks like bending","['diamond head', 'arm right', 'looks like bending']"
4,"diamond head, long legs, looks like sitting","['diamond head', 'long legs', 'looks like sitting']"
5,"diamond head, no arms, or legs","['diamond head, no arms, or legs']"
6,"diamond head, two legs, one leg lifting, zombie","['diamond head', 'two legs', 'one leg lifting', 'zombie']"
7,"head - square and two triangles, body triangle","['head - square and two triangles', 'body triangle']"
8,"diamond head, arms facing left, looks like wearing gown","['diamond head', 'arms facing left', 'looks like wearing gown']"
9,"this one is complicated, the head has square, two triangle, long neck, has neck, square is upper left side of the neck, neck","['the head has square', 'two triangle', 'long neck', 'has neck', 'square is upper left side of the neck', 'neck']"
10,skiing,['skiing']
11,open arms,['open arms']
12,"sitting, we have this one before",['sitting']
13,"open are, arm","['open are', 'arm']"
14,"no arm no legs, facing right","['no arm no legs, facing right']"
15,zombie,['zombie']
16,skiing,['skiing']
17,"two triangle, one square on the head, body triangle","['two triangles', 'one square on the head', 'body triangle']"
18,"facing left, diamond head, wearing gown","['facing left', 'diamond head', 'wearing gown']"
19,"neck!, long neck, had before","['neck!', 'long neck', 'had before']"
20,"had before, square and one triangle head, point face, facing left","['square and one triangle head, point face, facing left']"
21,"had before diamond head, facing right, body is like rectangle","['diamond head, facing right, body is like rectangle']"
22,"bending, facing right,, no tail","['bending', 'facing right', 'no tail']"
23,"similar to last one, but this one has tail",['this one has tail']
24,"bending, facing right, no tail","['bending', 'facing right', 'no tail']"
25,"sitting, facing left","['sitting, facing left']"
26,open arms,['open arms']
27,"bending, no arm no legs, facing right,","['bending', 'no arm no legs', 'facing right']"
28,skiing,['skiing']
29,"two triangles, one square head","['two triangles', 'one square head']"
30,gown,['gown']
31,zombie,['zombie']
32,"bending, tail","['bending', 'tail']"
33,"point face, square and triangle head","['point face', 'square and triangle head']"
34,rectangle like body,['rectangle like body']
35,neck,['neck']
36,gown,['gown']
37,zombie,['zombie']
38,open arms,['open arms']
39,no arm no leg,['no arm no leg']
40,"bending, tail","['bending', 'tail']"
41,"sitting, facing left","['sitting, facing left']"
42,"two triangle on the head, square face","['two triangle on the head', 'square face']"
43,skiing,['skiing']
44,neck,['neck']
45,"looks like a bull, point face, square and triangle head","['looks like a bull', 'point face', 'square and triangle head']"
46,"bending, no tail","['bending', 'no tail']"
47,rectangle like body,['rectangle like body']
48,"point face, square and triangle on the head","['point face', 'square and triangle on the head']"
49,open arm,['open arm']
50,gown,['gown']
51,rectangle like body,['rectangle like body']
52,skii,There is no description of an image in the given text.
53,zombie,['zombie']
54,"bending, no tail","['bending, no tail']"
55,"sitting, face left","['sitting, face left']"
56,"sitting, face right, no arm no leg","['sitting', 'face right', 'no arm no leg']"
57,neck,['neck']
58,"square face, two triangle on the head, head","['square face', 'two triangle on the head', 'head']"
59,"bending, no tail, tail!!!","['bending', 'no tail', 'tail!!!']"
60,"bending ,tail","['bending', 'tail']"
61,"no arm no leg, face right","['no arm no leg', 'face right']"
62,"square face, two triangles","['square face', 'two triangles']"
63,rectangle like body,['rectangle like body']
64,neck,['neck']
65,open arm,['open arm']
66,"bending, no tail","['bending, no tail']"
67,zombi,There is no description of the image in the provided text.
68,"setting, face left","['setting', 'face left']"
