,text,gpt_out
0,the box head shape is at the very top it is shaped like a diamond a triangular bit is pointing to the right the bottom left of the shape is half a square,"['the box head shape is at the very top', 'it is shaped like a diamond', 'a triangular bit is pointing to the right', 'the bottom left of the shape is half a square']"
1,it's like a person standing on one leg with the other leg pointing backwards parallel to the floor,['a person standing on one leg with the other leg pointing backwards parallel to the floor']
2,the head a the top is diamond shape the body is a long rectangle there is a bit pointing to the left like hands the bottom of the shape has a small triangle shape at the bottom pointing left,"['the head a the top is diamond shape', 'the body is a long rectangle', 'there is a bit pointing to the left like hands', 'the bottom of the shape has a small triangle shape at the bottom pointing left']"
3,the top has two triangles on top of a square the body is triangle and the slope side has a break in it,"['two triangles on top of a square', 'the body is triangle', 'the slope side has a break in it']"
4,a figure with hands arms waving in the air the body is leaning to the left,"['a figure with hands arms waving in the air', 'the body is leaning to the left']"
5,"top is a square in diamond shape, which is sitting on the right of the main body underneath to the right is a triangle at the bottom left of the picture is a small triangle","['a square in diamond shape', 'sitting on the right of the main body', 'underneath to the right is a triangle', 'at the bottom left of the picture is a small triangle']"
6,diamond head on top of the bottom centred in the middle the body is a large block the left side is rectangular the right has a small triangle at the top of the body and another at bottom of the body,"['diamond head on top of the bottom centred in the middle', 'the body is a large block', 'the left side is rectangular', 'the right has a small triangle at the top of the body and another at bottom of the body']"
7,like a person sitting down with the back to a wall on the right side the legs are bent at the knee,"['a person sitting down with the back to a wall on the right side', 'the legs are bent at the knee']"
8,"diamond head sitting atop a narrow neck, hands like a triangle pointing to the right bottom left of the picture is another triangle shape pointing to the left","['diamond head sitting atop a narrow neck', 'hands like a triangle pointing to the right', 'bottom left of the picture is another triangle shape pointing to the left']"
9,think of the letter i the lower body has bit jutting out art the bottom to the right,['the lower body has bit jutting out art the bottom to the right']
10,think of a shoe the heel is a triangle but is not touching the ground there is a square ate the top left,"['the heel is a triangle but is not touching the ground', 'there is a square at the top left']"
11,a person standing on one leg the other leg is in the air pointing to the left a square on the back a pointy nose pointing downwards,"['a person standing on one leg', 'the other leg is in the air pointing to the left', 'a square on the back', 'a pointy nose pointing downwards']"
12,"One that looks like a man on one leg, with a pointy nose facing down","['a man on one leg', 'with a pointy nose facing down']"
13,at the top there are two triangles attached to the tip of a diamond shape,['two triangles attached to the tip of a diamond shape']
14,Person sitting down with their back against the wall and triangle feet out in front of them and legs bent,"['Person sitting down with their back against the wall', 'triangle feet out in front of them', 'legs bent']"
15,"Think of the letter I, then with triangle feet stuck out to the right","['the letter I', 'triangle feet stuck out to the right']"
16,"Person looking like they're flying, arms outstretched and square shaped head","['Person looking like they're flying', 'arms outstretched', 'square shaped head']"
17,"Person with straight back on the right, feet out in front on the left, and arms out in front on the left, with a diamond square head","['Person with straight back on the right', 'feet out in front on the left', 'arms out in front on the left', 'diamond square head']"
18,"Person leaning over to the left, with two triangles for arms, standing on one leg, and then one leg out behind them to the right","['Person leaning over to the left', 'two triangles for arms', 'standing on one leg', 'one leg out behind them to the right']"
19,"Person sat on a half square, pointing to the right with triangle arms out to the right Head is a diamond square on top of a triangle","['Person sat on a half square, pointing to the right with triangle arms out to the right', 'Head is a diamond square on top of a triangle']"
20,"Small triangle out to the left, two larger triangles for arms, and a diamond head Right arm is pointing slightly higher than the left","['Small triangle out to the left', 'two larger triangles for arms', 'a diamond head', 'Right arm is pointing slightly higher than the left']"
21,"Left hand side is a rectangle with a flat side, right hand side has a small foot and a small arm Head is a square diamond","['rectangle with a flat side', 'small foot', 'small arm', 'square diamond']"
22,Looks like a shoe with the heel on the right hand side slightly off the ground,['a shoe with the heel on the right hand side slightly off the ground']
23,"Zig zag legs with arms only on the right hand side Legs are on the left hand side - almost like kneeling down while asking for food, Food","['Zig zag legs with arms only on the right hand side', 'Legs are on the left hand side - almost like kneeling down while asking for food', 'Food']"
24,Person facing left Standing holding a bowl Foot is small triangle facing left Body is rectangle Head is diamond,"['Person facing left', 'Standing holding a bowl', 'Foot is small triangle facing left', 'Body is rectangle', 'Head is diamond']"
25,"Person facing right, holding a bowl, kneeling Head diamond and neck is a bit of a triangle, Knees on the ground","['Person facing right', 'holding a bowl', 'kneeling', 'Head diamond', 'neck is a bit of a triangle', 'Knees on the ground']"
26,A person facing left Holding two arms out in a questioning pose Like I don't know No waist or legs or feet,"['A person facing left', 'Holding two arms out in a questioning pose', 'No waist or legs or feet']"
27,"Person facing left in a high lunge Both arms are held horizontal Back foot is on the left and is a small triangle The arm in the front is slightly higher, right","['Person facing left in a high lunge', 'Both arms are held horizontal', 'Back foot is on the left and is a small triangle', 'The arm in the front is slightly higher, right']"
28,The shoe one,['The shoe one']
29,person facing right Zig Zag body holding a bowl in front Chair pose if you know yoga,"['person facing right', 'Zig Zag body', 'holding a bowl in front', 'Chair pose if you know yoga']"
30,"Person facing right, sat leaning against a wall, Facing left","['Person facing right, sat leaning against a wall, Facing left']"
31,Karate kid pose! Person on one leg facing left Head back body a trapezium,"['Karate kid pose', 'Person on one leg facing left', 'Head back', 'body a trapezium']"
32,Like an i with a small triangle bottom right,['an i with a small triangle bottom right']
33,"Hair is two triangles on top of a diamond head, hair",['two triangles on top of a diamond head']
34,Person on one leg facing left Back leg parallel to the ground Aeroplane pose in yoga,"['Person on one leg facing left', 'Back leg parallel to the ground', 'Aeroplane pose in yoga']"
35,Person pointing right Left side of body is a long rectangle,['Left side of body is a long rectangle']
36,"karate kid pose, head looks like it is falling down the right side","['karate kid pose', 'head looks like it is falling down the right side']"
37,"think ariana grande dangerous woman with the bunny ears on top of the head body is a large triangle, looks like the head is facing right","['ariana grande dangerous woman with the bunny ears on top of the head', 'body is a large triangle', 'looks like the head is facing right']"
38,looks like a man standing facing the left Looks like he is holding a book the bottom of his body has a little foot also facing left,"['a man standing facing the left', 'he is holding a book', 'the bottom of his body has a little foot also facing left']"
39,man standing on one leg facing the left with the leg in the air facing right his arms look like one is higher than the other and are also facing left,"['man standing on one leg facing the left', 'leg in the air facing right', 'arms look like one is higher than the other and are also facing left']"
40,the shoe one,There is no description of the image provided in the text.
41,man sitting down leaning on a wall he is facing the left his little legs are hanging out,"['man sitting down leaning on a wall', 'he is facing the left', 'his little legs are hanging out']"
42,man facing right with his arms out a little his knees look bent in a zigzag shape,"['man facing right', 'arms out a little', 'knees look bent in a zigzag shape']"
43,the letter i the body is thick,['the letter i the body is thick']
44,person facing right with their arms out a little look like they are kneeling down,['person facing right with their arms out a little look like they are kneeling down']
45,"looks like a person with a really pointy nose facing left their 'hair' is a square and a triangle on top of the head with the point nose, there is also a little triangle on the left","['a person with a really pointy nose facing left', ""'hair' is a square and a triangle on top of the head with the point nose"", 'a little triangle on the left']"
46,"looks like a cube being pushed off a cliff the left side of the cliff is straight and the right side is jagged, or rolling off a cliff*","['a cube being pushed off a cliff', 'the left side of the cliff is straight', 'the right side is jagged']"
47,looks like the top half of a person with their arms both in the air,['the top half of a person with their arms both in the air']
48,"straight back on right, small foot on left, arms to left","['straight back on right', 'small foot on left', 'arms to left']"
49,two triangles coming out of top of head,['two triangles coming out of top of head']
50,zig zag legs with arms out to right almost kneeling,['zig zag legs with arms out to right almost kneeling']
51,"standing on one leg, other leg out to right horizontal","['standing on one leg', 'other leg out to right horizontal']"
52,"letter i, triangle out to bottom right","['letter i', 'triangle out to bottom right']"
53,"facing right, kneeling with knees almost on floor, holding bowl","['facing right', 'kneeling with knees almost on floor', 'holding bowl']"
54,"left hand side is straight vertical from floor to shoulder, arm out to right, small foot to right","['left hand side is straight vertical from floor to shoulder', 'arm out to right', 'small foot to right']"
55,shoe,['shoe']
56,"karate kid, on one leg, other leg to left","['karate kid', 'on one leg', 'other leg to left']"
57,"both arms raised, no waist legs feet","['both arms raised, no waist legs feet']"
58,triangle to right attached to bottom of head,['triangle to right attached to bottom of head']
59,"seated with back to wall on right, knees bent","['seated with back to wall on right, knees bent']"
60,shoe,['shoe']
61,i,There is no description of the image in the provided text.
62,"kneeling, bowl out to the right","['kneeling', 'bowl out to the right']"
63,two triangle coming out of head - rabbit ears,['two triangle coming out of head - rabbit ears']
64,leaning against wall,['leaning against wall']
65,"right handside of body straight hands pointing left, small triangle for feet pointing left","['right handside of body straight hands pointing left', 'small triangle for feet pointing left']"
66,triangle coming out of right hand side of head,['triangle coming out of right hand side of head']
67,standing one leg other leg pointing right horizontally,"['standing one leg', 'other leg pointing right horizontally']"
68,kneeling in zig zag pose hands pointing right,"['kneeling in zig zag pose', 'hands pointing right']"
69,"straight line on left of body, boulder rolling off cliff tiny triangles top and bottom pointing right","['straight line on left of body', 'boulder rolling off cliff', 'tiny triangles top and bottom pointing right']"
70,no legs hands waving in air,"['no legs', 'hands waving in air']"
71,karate kid pose standing one leg other pointing left square on back of neck,"['karate kid pose', 'standing one leg', 'other pointing left', 'square on back of neck']"
72,"A man who is leaning to the left, arms outstretched","['A man who is leaning to the left, arms outstretched']"
73,"A man with a very fat right leg, one arm, one right arm slightly raised, small right leg, left leg very big and on ground","['A man with a very fat right leg', 'one arm', 'one right arm slightly raised', 'small right leg', 'left leg very big and on ground']"
74,"seated man, one leg on the left","['seated man, one leg on the left']"
75,"man with no arms or legs, slight protuberance on the right","['man with no arms or legs', 'slight protuberance on the right']"
76,"man with arms like two triangle wings, seated, with small triangle on left, head in middle of arm wings","['man with arms like two triangle wings', 'seated', 'small triangle on left', 'head in middle of arm wings']"
77,"man facing sideways, one triangle arm, legs are slanting, No triangle on left","['man facing sideways', 'one triangle arm', 'legs are slanting', 'No triangle on left']"
78,"man with one triangle arm, bit like last image we got, but this time he has small triangle on the left, pointing up, one triangle arm, diamond head and diamond body, triangle arm pointing right","['man with one triangle arm', 'small triangle on the left, pointing up', 'one triangle arm', 'diamond head and diamond body', 'triangle arm pointing right']"
79,"man kicking backward, two triangle arms, arms pointing left","['man kicking backward', 'two triangle arms', 'arms pointing left']"
80,"man kicking one leg left, head bent to right, funny arm pointing down, kicking left leg up a little bit","['man kicking one leg left', 'head bent to right', 'funny arm pointing down', 'kicking left leg up a little bit']"
81,"me again, fat man small triangle arm, triangle arm pointing right, middle head, straight shoulders","['fat man', 'small triangle arm', 'triangle arm pointing right', 'middle head', 'straight shoulders']"
82,"man with two triangle on head, seated, legs pointed on the ground","['man with two triangle on head', 'seated', 'legs pointed on the ground']"
83,"man carrying pot, on left","['man carrying pot, on left']"
84,"Diamond head Triangle arms on each side - almost stretched out Fat bottom,, Triangle on the left at the bottom Not symmetrical","['Diamond head', 'Triangle arms on each side - almost stretched out', 'Fat bottom', 'Triangle on the left at the bottom', 'Not symmetrical']"
85,"Looks like a witch or Harry Potter riding a broom, Facing right, Knees bent, slightly seated Diamond head, Triangle arm pointing right","['witch or Harry Potter riding a broom', 'Facing right', 'Knees bent, slightly seated', 'Diamond head', 'Triangle arm pointing right']"
86,"Head on left, facing left Weird arms on right Seated, Legs point left, small triangle on bottom right","['Head on left, facing left', 'Weird arms on right', 'Seated, Legs point left', 'small triangle on bottom right']"
87,Karate kick backward man,['Karate kick backward man']
88,"Man sitting on ground, facing left, legs sort of outstretched, like you were sitting on the ground for a picnic","['Man sitting on ground, facing left, legs sort of outstretched, like you were sitting on the ground for a picnic']"
89,"two triangles on the head, like a crazy hat","['two triangles on the head, like a crazy hat']"
90,"Diamond head on right, Legs pointing left, One leg up in the air, one leg on the ground","['Diamond head on right', 'Legs pointing left', 'One leg up in the air', 'one leg on the ground']"
91,"Diamond head, Triangle arm on right, almost like he's pointing out, flat bottom, Almost like you are holding something","['Diamond head', 'Triangle arm on right, almost like he's pointing out', 'flat bottom', 'Almost like you are holding something']"
92,Diamond head Only picture where left side is completely straight line,"['Diamond head', 'left side is completely straight line']"
93,Arms outstretched Imagine a flying ghost from Halloween,"['Arms outstretched', 'Imagine a flying ghost from Halloween']"
94,"Imagine someone standing at a podium giving speech Or previous speaker said ""holding a pot"", Facing left","['someone standing at a podium giving speech', 'holding a pot', 'Facing left']"
95,"Can't see any arms Imagine wrapped in a blanket completely, Armless and legless, Burrito with a head","['Imagine wrapped in a blanket completely', 'Armless and legless', 'Burrito with a head']"
96,"head falling off to my right, one leg off the ground","['head falling off to my right', 'one leg off the ground']"
97,"fat leg on my left, triangle leg on right off the ground, diamond head leaning to my left","['fat leg on my left', 'triangle leg on right off the ground', 'diamond head leaning to my left']"
98,holding a pot!,['holding a pot']
99,ghost flying,['ghost flying']
100,"crouching, bent legs","['crouching, bent legs']"
101,burrito,['burrito']
102,2 tri hat,['2 tri hat']
103,"weird low right foot area pointing up, dia head, right tri arm, small left tri arm, pointing right, right foot area pointing r","['weird low right foot area pointing up', 'dia head', 'right tri arm', 'small left tri arm', 'pointing right', 'right foot area pointing r']"
104,"sitting, bent legs facing my left","['sitting, bent legs facing my left']"
105,"flat - my left side, pointing r, pointing r if facing him","['flat - my left side, pointing r, pointing r if facing him']"
106,karate kick,['karate kick']
107,"dia head, two arms, the arm on my right is just attached at the top, kinda wide flat bottom with a small triangle on my left","['dia head', 'two arms', 'the arm on my right is just attached at the top', 'kinda wide flat bottom with a small triangle on my left']"
108,"looks like a man about to run to the right, leg lifted in the air, lifted leg on left, head facing right, raised leg facing left, almost looks like it has a wing on the left","['a man about to run to the right', 'leg lifted in the air', 'lifted leg on left', 'head facing right', 'raised leg facing left', 'almost looks like it has a wing on the left']"
109,"rabbit slumped in a corner, two triangles on head","['rabbit slumped in a corner', 'two triangles on head']"
110,"man falling towards the left, snow angel, ghost","['man falling towards the left', 'snow angel', 'ghost']"
111,"person stepping to the right, fat left leg, small right triangle leg, head back, on left, left leg on ground, arms reaching up to the right","['person stepping to the right', 'fat left leg', 'small right triangle leg', 'head back', 'on left', 'left leg on ground', 'arms reaching up to the right']"
112,"squarish person crouched, flat left side, pointing right","['squarish person crouched', 'flat left side', 'pointing right']"
113,burrito,['burrito']
114,holding pot,['holding pot']
115,"karate kick, or figure skater facing left","['karate kick', 'figure skater facing left']"
116,"rubber duck with two diamonds on head OR, similar to crouching figure, facing right, the weirdest one lol, two diamonds on top","['rubber duck with two diamonds on head', 'similar to crouching figure, facing right', 'the weirdest one lol', 'two diamonds on top']"
117,"crouching, facing left, opposite of pot holding person, i meant right, facing right sorry","['crouching', 'facing left', 'opposite of pot holding person', 'facing right']"
118,"man seated facing left, legs outstretched","['man seated facing left, legs outstretched']"
119,"kneeling angel, facing right, triangle arms, small triangle foot on left side","['kneeling angel', 'facing right', 'triangle arms', 'small triangle foot on left side']"
120,karate kick leg right,['karate kick leg right']
121,holding pot to the left,['holding pot to the left']
122,"crouched figure, triangle arm on the right, diamond head, facing right","['crouched figure', 'triangle arm on the right', 'diamond head', 'facing right']"
123,"square head, two triangle arms on the right kinda like a wing, head is on the left, legs are on the left, sitting down kinda, naruto run but sitting down, only one corner of the head is attached","['square head', 'two triangle arms on the right kinda like a wing', 'head is on the left', 'legs are on the left', 'sitting down kinda', 'naruto run but sitting down', 'only one corner of the head is attached']"
124,"angel, both arms raised, ghost","['angel, both arms raised, ghost']"
125,"picnic, sitting down, legs on left","['picnic', 'sitting down', 'legs on left']"
126,burrito,['burrito']
127,rabbit facing right,['rabbit facing right']
128,"diamond head, triangle arm is on the right, leg is pointed upwards on the left, chest is sticking out to the left, triangle arm is pointing to the right","['diamond head', 'triangle arm is on the right', 'leg is pointed upwards on the left', 'chest is sticking out to the left', 'triangle arm is pointing to the right']"
129,crouched angel,['crouched angel']
130,"figure is kicking one leg to the right, head is on the right, only one corner of the head is attached, left*","['figure is kicking one leg to the right', 'head is on the right', 'only one corner of the head is attached']"
131,flat left,['flat left']
132,"Seated person Facing left, Might be having a picnic","['Seated person Facing left, Might be having a picnic']"
133,"Guy facing left, standing Might be carrying something like a pot","['Guy facing left, standing', 'Might be carrying something like a pot']"
134,Seated guy with rabbit ears Facing right,"['Seated guy with rabbit ears', 'Facing right']"
135,"Not sure what has happened this guy, but he has a very flat left side",['he has a very flat left side']
136,"Looks a bit like a seal with a square on his head and triangle falling off its nose, Or a guy with a very fat left leg","['a seal with a square on his head', 'triangle falling off its nose', 'a guy with a very fat left leg']"
137,Karate!!,['Karate!!']
138,"Kneeling angel, With small left foot","['Kneeling angel', 'With small left foot']"
139,"Kneeling person, facing right (might have a pot, but not the usual pot guy), Not crouching!, Kneeling!, Looks a bit like a rubber duck with something on its head, Diamond at the top, on top of another diamond","['Kneeling person, facing right', 'Not crouching!', 'Kneeling!', 'Looks a bit like a rubber duck with something on its head', 'Diamond at the top, on top of another diamond']"
140,"Sorry, that was my bad, This is a guy standing on one leg, with a massive fat arm on the left, Leg on the left is off the ground, Head is to the right","['a guy standing on one leg', 'with a massive fat arm on the left', 'Leg on the left is off the ground', 'Head is to the right']"
141,"Crouching person (also might have a pot, but again, not the usual pot guy), Facing right, Legs bent","['Crouching person', 'Facing right', 'Legs bent']"
142,Boo! i'm a scary ghost!,['i'm a scary ghost']
143,It looks like a candle with a chunk on the right side cut out,['a candle with a chunk on the right side cut out']
144,"It looks like a person with their head thrown back and one foot raised, The head is on the right side of the image, The diamond head is tilted back","['a person with their head thrown back and one foot raised', 'The head is on the right side of the image', 'The diamond head is tilted back']"
145,"It looks like a person falling down Falling from the right of the screen down into the left With its arm stick out and a bit up, The diamond head is in the middle of the image, Diamond shaped head in the middle of the image, Hands up at the head, Like the person is falling down","['a person falling down', 'Falling from the right of the screen down into the left', 'With its arm stick out and a bit up', 'The diamond head is in the middle of the image', 'Diamond shaped head in the middle of the image', 'Hands up at the head', 'Like the person is falling down']"
146,"Kneeling, diamond head in the middle of the picture, arms like a triangle, Kneeling person in prayer with arms sticking out to the sides, feet are a triangle on the bottom left of the image, triangle feet on the bottom left of the image","['Kneeling', 'diamond head in the middle of the picture', 'arms like a triangle', 'Kneeling person in prayer with arms sticking out to the sides', 'feet are a triangle on the bottom left of the image', 'triangle feet on the bottom left of the image']"
147,"Person serving, two people picked it last time, instead of the prayer person, Person holding a platter walking towards the right of the picture","['Person serving', 'Person holding a platter walking towards the right of the picture']"
148,bunny rabbit ears,['bunny rabbit ears']
149,"this one is hard, never picked before, diamond head, triangle directly below head, looks like a person standing with their back to the image, not sitting, or dancing or with a platter, like a diamond on top of a triangle on top of a square with a weird piece at the bottom, not the dancer, the waiter, the candle, the sitter, the falling person or the rock, not the prayer, the other one","['diamond head', 'triangle directly below head', 'looks like a person standing with their back to the image', 'like a diamond on top of a triangle on top of a square with a weird piece at the bottom', 'not the dancer, the waiter, the candle, the sitter, the falling person or the rock', 'not the prayer, the other one']"
