,text,gpt_out
0,Sitting on the ground facing left,['Sitting on the ground facing left']
1,"Backwards ""C"" with arms top and bottom to the right","['Backwards ""C"" with arms top and bottom to the right']"
2,"kneeling on the ground, arms out, facing right, legs and arms are parallel with the ground","['kneeling on the ground', 'arms out', 'facing right', 'legs and arms are parallel with the ground']"
3,"sitting on the ground, facing right, rabbit ears on the head","['sitting on the ground', 'facing right', 'rabbit ears on the head']"
4,"body looks like a backwards 'Z"" Arms to the right, legs to the left","['body looks like a backwards ""Z""', 'Arms to the right', 'legs to the left']"
5,"Sitting curled up Legs point to the right, can't see arms, not the first word I'd use I think it looks kinda like a candle, triangular","['Sitting curled up', 'Legs point to the right', 'can't see arms', 'not the first word I'd use', 'looks kinda like a candle', 'triangular']"
6,looks like kick at the end of Karate Kid,['kick at the end of Karate Kid']
7,The one you just chose I think this looks like a figure skater,['a figure skater']
8,"kneeling, facing right Arms pointed right, legs behind pointing up","['kneeling, facing right', 'Arms pointed right', 'legs behind pointing up']"
9,"Left side body is vertical line Arm to the right, leg to the right Arm extends further than the leg","['Left side body is vertical line', 'Arm to the right', 'leg to the right', 'Arm extends further than the leg']"
10,Leaning way to the left Arms up like a Y,"['Leaning way to the left', 'Arms up like a Y']"
11,"Standing up, facing and pointing to the left Arm extends further than the leg","['Standing up, facing and pointing to the left', 'Arm extends further than the leg']"
12,"this guy is kneeling, facing right with arms raised one of his arms looks like a triangle kinda disconnected from his body","['this guy is kneeling', 'facing right', 'with arms raised', 'one of his arms looks like a triangle kinda disconnected from his body']"
13,okayy facing right with legs like a trapezoid facing left,['facing right with legs like a trapezoid facing left']
14,"leaning way to the left, arms in a Y","['leaning way to the left', 'arms in a Y']"
15,"sitting facing left, can't see arms, legs are outstretched","['sitting facing left', ""can't see arms"", 'legs are outstretched']"
16,looks like a candle with square shoulders,['a candle with square shoulders']
17,"okay this one doesn't really look like a person, like he's wearing a plague doctor mask or something standing on one foot","['he's wearing a plague doctor mask', 'standing on one foot']"
18,candle ghost,['candle ghost']
19,backwards C with arms out to the right,['backwards C with arms out to the right']
20,"standing straight, facing left arms extend further to the left than legs","['standing straight, facing left', 'arms extend further to the left than legs']"
21,bunny ears,['bunny ears']
22,figure skater,['figure skater']
23,"kneeling, facing right, feet to the left pointed up sharply","['kneeling', 'facing right', 'feet to the left pointed up sharply']"
24,backwards c arms to the right,['backwards c arms to the right']
25,"kneeling facing to the right, feet pointed up sharply","['kneeling facing to the right', 'feet pointed up sharply']"
26,"leaning to the left, arms outstretched","['leaning to the left, arms outstretched']"
27,"sitting, facing left, head bowed, legs outstretched some","['sitting', 'facing left', 'head bowed', 'legs outstretched']"
28,"standing, pointing facing left","['standing, pointing facing left']"
29,bunny ears,['bunny ears']
30,candle ghost,['candle ghost']
31,plague doctor karate kid,"['plague doctor', 'karate kid']"
32,"facing right, backwards Z, feet to the left, arms to the right","['facing right', 'backwards Z', 'feet to the left', 'arms to the right']"
33,"kneeling, facing right, arms outstretched, right arm somewhat disconnected","['kneeling', 'facing right', 'arms outstretched', 'right arm somewhat disconnected']"
34,figure skater,['figure skater']
35,"standing, kinda looks like a candle, arms and leg pointed right, arms extended further than leg Vertical line on left side","['standing', 'kinda looks like a candle', 'arms and leg pointed right', 'arms extended further than leg', 'Vertical line on left side']"
36,bunny ears,['bunny ears']
37,"kneeling with legs pointed sharply to the left, arms are one triangle pointed right parallel to the floor","['kneeling with legs pointed sharply to the left', 'arms are one triangle pointed right parallel to the floor']"
38,disconnected triangle arm,['disconnected triangle arm']
39,leaning way left with Y arms,['leaning way left with Y arms']
40,candle ghost,['candle ghost']
41,figure skater,['figure skater']
42,"right side is a vertical line, facing left, arms out further than legs","['right side is a vertical line, facing left, arms out further than legs']"
43,karate kid,['karate kid']
44,backwards C arms out to the right,['backwards C arms out to the right']
45,candle with square shoulders,['candle with square shoulders']
46,mopey guy facing left legs outstretched,['mopey guy facing left legs outstretched']
47,backwards Z,['backwards Z']
48,karate kid plague doctor,['karate kid plague doctor']
49,bunny ears,['bunny ears']
50,"backwards Z, trapezoid legs","['backwards Z', 'trapezoid legs']"
51,candle ghost,['candle ghost']
52,"kneeling, facing right, legs behind, pointed sharply up","['kneeling', 'facing right', 'legs behind', 'pointed sharply up']"
53,figure skater,['figure skater']
54,"standing, facing left, pointing left Arms out further than legs","['standing, facing left', 'pointing left', 'Arms out further than legs']"
55,"leaning left, Y arms","['leaning left', 'Y arms']"
56,backwards C,['backwards C']
57,"candle, square shoulders","['candle', 'square shoulders']"
58,disconnected triangle arm,['disconnected triangle arm']
59,mopey guy,['mopey guy']
60,wonder what he's moping about this round is backwards Z,['this round is backwards Z']
61,backwards C,['backwards C']
62,bunny,['bunny']
63,ghost,['ghost']
64,karate kid,['karate kid']
65,figure skater,['figure skater']
66,legs pointed sharply,['legs pointed sharply']
67,leaning left Y arms,"['leaning left', 'Y arms']"
68,square shoulder candle,['square shoulder candle']
69,disconnected triangle arm,['disconnected triangle arm']
70,moper,There is no description of an image in the given text.
71,"standing facing left, arms further out than legs","['standing facing left, arms further out than legs']"
72,"diamond on the top in the center, on top of a long flat edge (the diamond)","['diamond on the top in the center, on top of a long flat edge (the diamond)']"
73,this looks like an animal leaning to the left and standing on one foot,['an animal leaning to the left and standing on one foot']
74,"diamond on the top in the center, the lowest point of the diamond is in between the crack of two shapes","['diamond on the top in the center', 'the lowest point of the diamond is in between the crack of two shapes']"
75,this looks like a tall bear walking with one foot up in the air,['a tall bear walking with one foot up in the air']
76,the diamond is on the top centered on a peak of another diamond,['the diamond is on the top centered on a peak of another diamond']
77,"this is a very solid mass, not a lot of angles, diamond on the top in the center","['a very solid mass', 'diamond on the top in the center']"
78,"this looks like someone in a cap and gown falling to the left, two diamonds up in the air look like hands","['someone in a cap and gown falling to the left', 'two diamonds up in the air look like hands']"
79,this looks like a sad person sittting on his but,['a sad person sitting on his but']
80,this person looks like they are squatting and hold out something,['this person looks like they are squatting and hold out something']
81,"this does not look like a person, there is a diamond on the top left corner and then interesting shaped triangles (2) on the right side of the picture, and a big blob sitting on the bottom left, almost like a person sitting down with their feet to the left","['a diamond on the top left corner', 'interesting shaped triangles (2) on the right side of the picture', 'a big blob sitting on the bottom left, almost like a person sitting down with their feet to the left']"
82,"this looks like someone that is giving a speech and holding out a diploma to the left, diamond on top as the head, in the center","['someone that is giving a speech', 'holding out a diploma to the left', 'diamond on top as the head', 'in the center']"
83,"this looks like a bunny sitting down , his head is on the left with two triangles as his ears that point to the left and right","['a bunny sitting down', 'his head is on the left', 'two triangles as his ears that point to the left and right']"
84,"Diamond on top of two larger diamonds pointing left, with one long shape kind of like a leg","['Diamond on top of two larger diamonds pointing left', 'one long shape kind of like a leg']"
85,"cube on top left, diamond on bottom right, NA, big blob on bottom left","['cube on top left', 'diamond on bottom right', 'big blob on bottom left']"
86,"bunny with two ears, looking sad","['bunny with two ears, looking sad']"
87,sad guy sitting down,['sad guy sitting down']
88,"looks like a guy dancing, one leg on ground One leg in air","['a guy dancing', 'one leg on ground', 'one leg in air']"
89,guy giving diploma to the left,['guy giving diploma to the left']
90,"diamond on top of a shapeless blob, just kinda sitting there","['diamond on top of a shapeless blob, just kinda sitting there']"
91,"guy extending arm to the right, diamond as a head","['guy extending arm to the right', 'diamond as a head']"
92,"guy extending both arms in the air, leaning left","['guy extending both arms in the air, leaning left']"
93,"diamond on top of other diamond, kind of like guy extending arms to the right","['diamond on top of other diamond', 'guy extending arms to the right']"
94,"diamond between two other shapes, diamond on top, small diamond on bottom left","['diamond between two other shapes', 'diamond on top', 'small diamond on bottom left']"
95,diamond on flat top,['diamond on flat top']
96,"handing diploma to left, diamond head","['handing diploma to left', 'diamond head']"
97,"guy falling to the left, hand in air","['guy falling to the left', 'hand in air']"
98,"sad guy sitting, his feet are to the left and his back is on the right , perfect diamond head","['sad guy sitting', 'his feet are to the left', 'his back is on the right', 'perfect diamond head']"
99,"lots of diamonds, doesn't look like a person, looks like a statute, diamond on the top left , diamond on the top right, diamond on bottom left and right, all differently positioned, long flat blob on the bottom left","['lots of diamonds', 'doesn't look like a person', 'looks like a statute', 'diamond on the top left', 'diamond on the top right', 'diamond on bottom left and right', 'all differently positioned', 'long flat blob on the bottom left']"
100,"looks like a person or figure standing on one foot, his diamond head is on the top left, and it looks like he has a tail or another foot in the air on the right","['a person or figure standing on one foot', 'his diamond head is on the top left', 'he has a tail or another foot in the air on the right']"
101,diamond on top of a long flat edge,['diamond on top of a long flat edge']
102,sad bunny sitting,['sad bunny sitting']
103,diamond on top in between two other diamonds,['diamond on top in between two other diamonds']
104,"man holding out a gun to the right, diamond head on top","['man holding out a gun to the right', 'diamond head on top']"
105,"big blob, diamond on top, the bottom edge has a diamond that point to the right","['big blob', 'diamond on top', 'the bottom edge has a diamond that point to the right']"
106,diamond on top of diamond,['diamond on top of diamond']
107,"sad bear walking to the left, one foot in the air, looks like he has a nose","['sad bear walking to the left', 'one foot in the air', 'looks like he has a nose']"
108,"sad guy sitting down, legs left","['sad guy sitting down, legs left']"
109,"guy with two arms in the air, leaning left","['guy with two arms in the air, leaning left']"
110,"diamond on top of blob, blob","['diamond on top of blob', 'blob']"
111,diamond between two shapes,['diamond between two shapes']
112,guy presenting diploma to the left,['guy presenting diploma to the left']
113,"cube top left, blob bottom left, NA, small diamond bottom right","['cube top left', 'blob bottom left', 'small diamond bottom right']"
114,"one leg, diamond on top of two larger triangles","['one leg', 'diamond on top of two larger triangles']"
115,diamond on top of flat surface,['diamond on top of flat surface']
116,bunny,['bunny']
117,guy with gun facing right,['guy with gun facing right']
118,"guy with two legs and a nose, cube top right","['guy with two legs and a nose', 'cube top right']"
119,diamond on diamond,['diamond on diamond']
120,"sad man sitting, legs to left","['sad man sitting, legs to left']"
121,diamond on flat edge,['diamond on flat edge']
122,sad bear with big nose,['sad bear with big nose']
123,handing out diploma to the left,['handing out diploma to the left']
124,sad bunny,['sad bunny']
125,"lots of diamonds, blob on bottom left, with diamond","['lots of diamonds', 'blob on bottom left', 'with diamond']"
126,diamond on diamond,['diamond on diamond']
127,gun to the right,['gun to the right']
128,"diamond on diamond, skinny blob with diamond to the right on bottom","['diamond on diamond', 'skinny blob with diamond to the right on bottom']"
129,falling to the left hands in air,['falling to the left hands in air']
130,diamond in between two diamonds,['diamond in between two diamonds']
131,"leaning on one foot to the left, with tail or other foot in the air on the right","['leaning on one foot to the left', 'with tail or other foot in the air on the right']"
132,sad bunny,['sad bunny']
133,diploma to the left,['diploma to the left']
134,"guy on one leg, other leg up and to the right","['guy on one leg, other leg up and to the right']"
135,diamond on diamond,['diamond on diamond']
136,guy with gun to the right,['guy with gun to the right']
137,diamond between two diamonds,['diamond between two diamonds']
138,sad guy,['sad guy']
139,diamond on top of blob,['diamond on top of blob']
140,diamond on flat surface,['diamond on flat surface']
141,"guy falling to left, arms in air","['guy falling to left', 'arms in air']"
142,sad bear,['sad bear']
143,"bunch of diamond shapes, blob on bottom left","['bunch of diamond shapes', 'blob on bottom left']"
144,player sitting down facing left,['player sitting down facing left']
145,player vertical pointing right,['player vertical pointing right']
146,player sitting facing right,['player sitting facing right']
147,antlers on head facing left,['antlers on head facing left']
148,vertical pointing left,['vertical pointing left']
149,vertical right leg in air,['vertical right leg in air']
150,leaning forward right leg straight back in air,"['leaning forward', 'right leg straight back in air']"
151,arms pointing out kneeling position,"['arms pointing out', 'kneeling position']"
152,kneeling arms pointing to right,['kneeling arms pointing to right']
153,leaning left arms lifted,['leaning left arms lifted']
154,kneeling body bent arm facing right,"['kneeling body', 'bent arm', 'facing right']"
155,sitting slightly bent to right,['sitting slightly bent to right']
156,Seating down facing left,['Seating down facing left']
157,kneeling down with one knee and hand on the air,['kneeling down with one knee and hand on the air']
158,seating down with no indication of either legs or arms,['seating down with no indication of either legs or arms']
159,both arms spread out and one leg spread out,"['both arms spread out', 'one leg spread out']"
160,both arms spread out and one leg on the air,"['both arms spread out', 'one leg on the air']"
161,one arm and leg not visible while one arm and leg spread out,"['one arm and leg not visible', 'one arm and leg spread out']"
162,"leaning to the ;eft with both arms on the air, left","['leaning to the left with both arms on the air, left']"
163,facing to left with one leg up and one hand up,"['facing to left', 'one leg up', 'one hand up']"
164,facing to right kneeling with one hand up,"['facing to right', 'kneeling with one hand up']"
165,"both hands up above the head, seating down, knees high and facing right","['both hands up above the head', 'seating down', 'knees high', 'facing right']"
166,kneeling down facing right,['kneeling down facing right']
167,facing left with hands forward,['facing left with hands forward']
168,vertical pointing right,['vertical pointing right']
169,slight bend facing right,['slight bend facing right']
170,facing left right leg up in air,"['facing left', 'right leg up in air']"
171,facing right arms outstretched,"['facing right', 'arms outstretched']"
172,full kneel facing right,['full kneel facing right']
173,tilted left arms outstretched,['tilted left arms outstretched']
174,vertical right leg in air facing left,['vertical right leg in air facing left']
175,sitting no arms or legs,['sitting no arms or legs']
176,sitting facing left no arms,['sitting facing left no arms']
177,head facing left 2 blocks on head one arm facing down,"['head facing left', '2 blocks on head', 'one arm facing down']"
178,vertical facing left arm pointing left,['vertical facing left arm pointing left']
179,sitting facing right 2 antlers,"['sitting facing right', '2 antlers']"
180,facing right with no visible arms or legs,['facing right with no visible arms or legs']
181,facing right with one leg kneeling,"['facing right', 'one leg kneeling']"
182,facing right with arms spread out and one leg kneeling,"['facing right', 'arms spread out', 'one leg kneeling']"
183,facing left seating down,"['facing left', 'seating down']"
184,facing right seating down with 2 antlers,"['facing right', 'seating down', 'with 2 antlers']"
185,standing facing left with arms forward,['standing facing left with arms forward']
186,left arm and leg not visible while standing,['left arm and leg not visible while standing']
187,kneeling fully with to right arms forward,['kneeling fully with to right arms forward']
188,"facing left, standing with right leg up","['facing left', 'standing with right leg up']"
189,facing left standing with one leg up and arms spread out,"['facing left', 'standing with one leg up', 'arms spread out']"
