,text,gpt_out
0,"the last character minu described, small triangle bottom right, falling","['small triangle bottom right, falling']"
1,"the one with square and triangle, falling off cliff, triangle on right, small foot left side, the square is standing, triangle is leaning, small leg on bottom left","['the one with square and triangle', 'falling off cliff', 'triangle on right', 'small foot left side', 'the square is standing', 'triangle is leaning', 'small leg on bottom left']"
2,"leaning to the left, square in the middle of two hands, falling yes, two arms up","['leaning to the left', 'square in the middle of two hands', 'falling yes', 'two arms up']"
3,"the sitting one, 45 degree legs, legs on left side, head is square, left side is bent up, yes on butt, no hands, long edge 45 degree, on left side, legs on left body on right","['the sitting one', '45 degree legs', 'legs on left side', 'head is square', 'left side is bent up', 'yes on butt', 'no hands', 'long edge 45 degree', 'on left side', 'legs on left body on right']"
4,"square on top, small edge on left side, bigger edge on right side, straight up, pointing right, two big edges, pac man mouth, yes jiggly tail, yes on left","['square on top', 'small edge on left side', 'bigger edge on right side', 'straight up', 'pointing right', 'two big edges', 'pac man mouth', 'yes jiggly tail', 'yes on left']"
5,"big block figure, stubby fat guy, belly, arm pointing right, standing","['big block figure', 'stubby fat guy', 'belly', 'arm pointing right', 'standing']"
6,"the one that looks like it's bending, right arm, back straight, square head, arm to right, yes bendy, zagging legs, one edge on right side, two edges sorry","['looks like it's bending', 'right arm', 'back straight', 'square head', 'arm to right', 'yes bendy', 'zagging legs', 'one edge on right side', 'two edges sorry']"
7,"big body, small edge on bottom right side, no arms, square yes, as head, straight up, small foot,right edge","['big body', 'small edge on bottom right side', 'no arms', 'square yes, as head', 'straight up', 'small foot', 'right edge']"
8,"foot on left side other foot on ground, square rolling off cliff, standing up, but one leg up, looking left, marching almost","['foot on left side', 'other foot on ground', 'square rolling off cliff', 'standing up', 'one leg up', 'looking left', 'marching almost']"
9,"graduation student with diploma, small foot on left side, cap on head","['graduation student with diploma', 'small foot on left side', 'cap on head']"
10,"big triangle, sliding down to right, yes bunny ears, sitting yes","['big triangle, sliding down to right', 'bunny ears, sitting']"
11,"this one is ice skater, leg on ground, little foot to right, spikes on left, square on top of spikes, one leg standing","['ice skater', 'leg on ground', 'little foot to right', 'spikes on left', 'square on top of spikes', 'one leg standing']"
12,"The man has both his hands in the air, leaning left","['The man has both his hands in the air, leaning left']"
13,"The man looks like he's ice skating, both arms facing left, one leg on the ground and one lifted","['The man looks like he's ice skating, both arms facing left, one leg on the ground and one lifted']"
14,"This guy has a very block body Small arms and small legs, Yes he's facing right, Square guy it is","['This guy has a very block body', 'Small arms and small legs', 'Yes he's facing right', 'Square guy it is']"
15,"This guy is sitting down with his knees bent, facing left","['This guy is sitting down with his knees bent, facing left']"
16,"This ones the weird one with one arm left one right, the right arm is detached","['weird one with one arm left one right', 'right arm is detached']"
17,"This one is kneeling with both arms facing right, One higher and one lower, Sort of like a horse","['kneeling with both arms facing right', 'One higher and one lower', 'Sort of like a horse']"
18,"This one has an arm and leg in the air to the left, One foot on the ground, Not ice skater, yes zombie lol","['an arm and leg in the air to the left', 'One foot on the ground']"
19,"This one has his knees bent and is facing the right, No flicky foot","['his knees bent', 'facing the right']"
20,"This guy is similar to the blocky guy but without any arms, Sitting straight","['similar to the blocky guy but without any arms', 'Sitting straight']"
21,This guy is facing the left with the long sleeves,['This guy is facing the left with the long sleeves']
22,This is the kneeling guy but with the flicky foot,['the kneeling guy but with the flicky foot']
23,"This is the one with the triangle ears, like a bunny","['the one with the triangle ears, like a bunny']"
24,"person kneeling, facing RIGHT Feet pointing up behind them to the left, Head is a diamond, on top of a triangle, The diamond is on top of the tip of a triangle that is the same width as the head, The feet are behind them, sticking up toward the sky","['person kneeling, facing RIGHT', 'Feet pointing up behind them to the left', 'Head is a diamond, on top of a triangle', 'The diamond is on top of the tip of a triangle that is the same width as the head', 'The feet are behind them, sticking up toward the sky']"
25,"The chicken dance one that Hera described, One food in the air, one on the ground Facing right, The feet face left and one foot is up to the knee level The head faces to the right They have the arm on the left up in the air, with the elbow the same height as the top of head","['One food in the air, one on the ground', 'Facing right', 'The feet face left and one foot is up to the knee level', 'The head faces to the right', 'They have the arm on the left up in the air, with the elbow the same height as the top of head']"
26,"Kneeling on the floor, facing right, They are the one with a little triangle foot or tail, to the left, The arms are raised or they could be wings that look like triangles, They have a white tie on, yes both are visible and raised","['Kneeling on the floor, facing right', 'one with a little triangle foot or tail, to the left', 'arms are raised or they could be wings that look like triangles', 'have a white tie on, yes both are visible and raised']"
27,"The head is a diamond, on top of a big fat body that looks square, except the right side is missing a chunk, It was the first one that Hera got, Their arms are stretched like a 't', a cross","['The head is a diamond', 'on top of a big fat body that looks square, except the right side is missing a chunk', 'Their arms are stretched like a ""t"", a cross']"
28,"The one facing RIGHT and they have their arms raised as if they are catching something The head is looking up at the sky, The bottom left leg is thick, The right leg is a tiny triangle, I said last time it looks like they are catching a ball that is coming from up high","['facing RIGHT and they have their arms raised as if they are catching something', 'The head is looking up at the sky', 'The bottom left leg is thick', 'The right leg is a tiny triangle', 'they are catching a ball that is coming from up high']"
29,"The one that looks like they are flying to the LEFT, No legs, Yes like the \","['looks like they are flying to the LEFT', 'No legs']"
