,text,gpt_out
0,"square a top, 1pt to left 2pts to right, the square at top has almost same just below","['square a top', '1pt to left', '2pts to right', 'the square at top has almost same just below']"
1,"diamond at top, arms to right legs to left, looks like person with hands facing right, standing with bent knees","['diamond at top', 'arms to right', 'legs to left', 'looks like person with hands facing right', 'standing with bent knees']"
2,"person on one leg, 2 triangle arms facing left, head is also left","['person on one leg', '2 triangle arms facing left', 'head is also left']"
3,"looks like person falling backwards, head falling back to the right hand side, hands look chunky, right leg up, slightly, falling back, from left to right, head on right hand side","['person falling backwards', 'head falling back to the right hand side', 'hands look chunky', 'right leg up, slightly', 'falling back', 'from left to right', 'head on right hand side']"
4,"head normal, big body frame, arms small facing right, small feet also right, yes standing","['head normal', 'big body frame', 'arms small facing right', 'small feet also right', 'yes standing']"
5,"kneeling to right in a pose facing left with hands up, small white split at right arm, arms in air but under head height, small foot at left hand side, thinoso facing ahead","['kneeling to right in a pose facing left with hands up', 'small white split at right arm', 'arms in air but under head height', 'small foot at left hand side', 'thinoso facing ahead']"
6,"block body, no great features, head on, not facing, stubbed chunk feet facing right, no hands, part of body block but skews to right","['block body', 'no great features', 'head on', 'not facing', 'stubbed chunk feet facing right', 'no hands', 'part of body block but skews to right']"
7,"body sittin on floor, facing left with knees, two triangles on head, feet level on floor as if sitting but kees up, yes on butt, facing down towards knees, square but facing down","['body sitting on floor, facing left with knees', 'two triangles on head', 'feet level on floor as if sitting but knees up', 'yes on butt, facing down towards knees', 'square but facing down']"
8,"same type of figure but facing left, no triangles on head, left","['same type of figure but facing left, no triangles on head, left']"
9,"looks like a ghost, arms in the air, skewed body to the left, chunky looking arm on right hand side of image, no legs, pointy body on right, sharp right, small arm left","['looks like a ghost', 'arms in the air', 'skewed body to the left', 'chunky looking arm on right hand side of image', 'no legs', 'pointy body on right', 'sharp right', 'small arm left']"
10,"facing right, small feet right, longer arms with wide sleeves, all facing left i mean, standing, facing, fat sleeve, all facing left head looks in middle","['facing right', 'small feet right', 'longer arms with wide sleeves', 'all facing left', 'standing', 'facing', 'fat sleeve', 'all facing left', 'head looks in middle']"
11,"looks as if falling to the right, legs on floor, right hand near ground small triangle, head tilted backwards to the left, square head, 1 unit, small gap in left arm, falling right","['looks as if falling to the right', 'legs on floor', 'right hand near ground', 'small triangle', 'head tilted backwards to the left', 'square head', '1 unit', 'small gap in left arm', 'falling right']"
12,"the last character minu described, small triangle bottom right, falling","['small triangle bottom right, falling']"
13,"the one with square and triangle, falling off cliff, triangle on right, small foot left side, the square is standing, triangle is leaning, small leg on bottom left","['the one with square and triangle', 'falling off cliff', 'triangle on right', 'small foot left side', 'the square is standing', 'triangle is leaning', 'small leg on bottom left']"
14,"leaning to the left, square in the middle of two hands, falling yes, two arms up","['leaning to the left', 'square in the middle of two hands', 'falling yes', 'two arms up']"
15,"the sitting one, 45 degree legs, legs on left side, head is square, left side is bent up, yes on butt, no hands, long edge 45 degree, on left side, legs on left body on right","['the sitting one', '45 degree legs', 'legs on left side', 'head is square', 'left side is bent up', 'yes on butt', 'no hands', 'long edge 45 degree', 'on left side', 'legs on left body on right']"
16,"square on top, small edge on left side, bigger edge on right side, straight up, pointing right, two big edges, pac man mouth, yes jiggly tail, yes on left","['square on top', 'small edge on left side', 'bigger edge on right side', 'straight up', 'pointing right', 'two big edges', 'pac man mouth', 'yes jiggly tail', 'yes on left']"
17,"big block figure, stubby fat guy, belly, arm pointing right, standing","['big block figure', 'stubby fat guy', 'belly', 'arm pointing right', 'standing']"
