,text,gpt_out
0,This one has a diamond head and the whole body looks like a state on a map The left side is almost completely square while the right is jagged,"['diamond head', 'the whole body looks like a state on a map', 'The left side is almost completely square while the right is jagged']"
1,Profile pic of person leaning against a while while sitting Facing to the left with their head down,['Profile pic of person leaning against a wall while sitting Facing to the left with their head down']
2,"Facing to the right, arms stretched out like a server holding a platter, knees bent","['Facing to the right', 'arms stretched out like a server holding a platter', 'knees bent']"
3,"Kneeling with their arms straight, Pointed tail on their back side","['Kneeling with their arms straight', 'Pointed tail on their back side']"
4,Tai chi pose,['Tai chi pose']
5,Ice skater facing left with both arms stretched out and a foot on the ground with the other in the air,"['Ice skater facing left', 'both arms stretched out', 'a foot on the ground', 'the other in the air']"
6,Looks like a bird facing left with a diamond boulder on its back Last time we said it looked like a bear standing up,['a bird facing left with a diamond boulder on its back']
7,Sad bunny sitting down facing the right,['Sad bunny sitting down facing the right']
8,Diamond head with arms facing to the left Square under the arms,"['Diamond head with arms facing to the left', 'Square under the arms']"
9,Looks like someone doing a backstroke Leaning to the left with both arms up,"['someone doing a backstroke', 'Leaning to the left with both arms up']"
10,"Diamond head, body looks like a lump with a little triangle pointing to the right","['Diamond head', 'body looks like a lump with a little triangle pointing to the right']"
11,"Looks like a lady in a dress with her arms up to the right, one leg facing forward, Thriller dance","['a lady in a dress with her arms up to the right, one leg facing forward']"
12,balancing,There is not enough information provided in the text to extract a description of the image. Please provide more context or additional text for me to work with.
13,"holding arms to the left, not on one foot","['holding arms to the left, not on one foot']"
14,"sitting down facing right, looks like a bunny, arms not out","['sitting down facing right', 'looks like a bunny', 'arms not out']"
15,"standing facing right with arms out, flat feet, no indent","['standing facing right with arms out, flat feet, no indent']"
16,"arms raised in air, can't see feet","['arms raised in air', ""can't see feet""]"
17,"sitting with arms behind, facing left, knees not bent","['sitting with arms behind, facing left, knees not bent']"
18,"kneeling facing right, hands to face looks like its praying, square head","['kneeling facing right', 'hands to face', 'looks like its praying', 'square head']"
19,"sitting facing left, legs crossed, no arms","['sitting facing left', 'legs crossed', 'no arms']"
20,"standing leg raised facing left, no arms visible, square on back","['standing leg raised facing left', 'no arms visible', 'square on back']"
21,knees bent facing right with arms in front,['knees bent facing right with arms in front']
22,sitting no arms or legs visible,"['sitting', 'no arms or legs visible']"
23,"kneeling facing right with arms in front, feet bent behind, head straight up","['kneeling facing right with arms in front, feet bent behind, head straight up']"
24,"facing left, flat feet, arms out front, standing","['facing left', 'flat feet', 'arms out front', 'standing']"
25,"kneeling, facing right, head to arms like sipping from a cup, no, kneeling feet on floor feet to left","['kneeling, facing right', 'head to arms like sipping from a cup', 'kneeling feet on floor feet to left']"
26,"standing, facing right flat feet, straight back","['standing, facing right', 'flat feet', 'straight back']"
27,"kneeling, facing right, arms out, looks like it's praying Not zig zag legs, not sipping","['kneeling, facing right, arms out, looks like it\'s praying']"
28,"balancing on one leg, facing left, arms out right, leg out left, no, not the beaky one, sorry, arms out left leg out right","['balancing on one leg', 'facing left', 'arms out right', 'leg out left', 'arms out left', 'leg out right']"
29,"sat facing left, arm behind to right, yes, one at up one down","['sat facing left', 'arm behind to right', 'one at up one down']"
30,"sat facing right, no arms or legs visible, looks like the letter i with a flick at bottom to the right and the dot attached","['sat facing right', 'no arms or legs visible', 'looks like the letter i with a flick at bottom to the right and the dot attached']"
31,"sat facing left, leg out to left, no arms, head looking down","['sat facing left', 'leg out to left', 'no arms', 'head looking down']"
32,"arms raised to the sky, no legs visible, yeah","['arms raised to the sky, no legs visible']"
33,"beaky, with square on back, one leg raised to the left","['beaky', 'with square on back', 'one leg raised to the left']"
34,"zig zag legs, facing right, arms out to right","['zig zag legs', 'facing right', 'arms out to right']"
35,"looks like a bunny, sat down, looking right, triangle ears","['a bunny', 'sat down', 'looking right', 'triangle ears']"
36,"standing facing left and pointing left, square underneath arm","['standing facing left and pointing left', 'square underneath arm']"
37,"kneeling, pointing left, feet pulled up behind, to the left, sorry pointing right and kneeling, feet up on left, legs flat on bottom","['kneeling', 'pointing left', 'feet pulled up behind', 'to the left', 'pointing right and kneeling', 'feet up on left', 'legs flat on bottom']"
38,"zigzag legs pointing right, arms in front pointing right","['zigzag legs pointing right', 'arms in front pointing right']"
39,looks like a bunny facing right,['a bunny facing right']
40,"sitting facing left, arms behind to the right one up one down, head looking down","['sitting facing left', 'arms behind to the right', 'one up one down', 'head looking down']"
41,"flying to the left, arms outstretched","['flying to the left, arms outstretched']"
42,"sitting facing left, knees up, head down a little, no arms","['sitting facing left', 'knees up', 'head down a little', 'no arms']"
43,"kneeling, facing right, head to arms like sipping from a cup, one arm on each side, feet behind to the left on the floor","['kneeling', 'facing right', 'head to arms like sipping from a cup', 'one arm on each side', 'feet behind to the left on the floor']"
44,"no arms no legs, like the i with a bend on the bottom","['no arms no legs', 'like the i with a bend on the bottom']"
45,"square on on side pointing right, feet facing right, no beak but pointing right, head in center of flat top","['square on on side pointing right', 'feet facing right', 'no beak but pointing right', 'head in center of flat top']"
46,"balancing on one leg, facing left, both arms visible pointing left","['balancing on one leg', 'facing left', 'both arms visible pointing left']"
47,"kicking one foot to the left, facing left, beak","['kicking one foot to the left', 'facing left', 'beak']"
48,"facing right, flat back, feet flat","['facing right', 'flat back', 'feet flat']"
49,"figure skater, facing left, foot out right","['figure skater', 'facing left', 'foot out right']"
50,"bunny ears, flat bottom","['bunny ears', 'flat bottom']"
51,"hunchback, knees bent, feet stretched to the left","['hunchback', 'knees bent', 'feet stretched to the left']"
52,"flying, facing left","['flying, facing left']"
53,"facing left, arms up and down, flat bottom, one up and one down","['facing left', 'arms up and down', 'flat bottom', 'one up and one down']"
54,"i with bent bottom, flat back and kneeling, facing right, no arms or legs","['i with bent bottom, flat back and kneeling, facing right, no arms or legs']"
55,"kneeling facing right, like praying with feet behind","['kneeling facing right, like praying with feet behind']"
56,"beaky, square on back, kicking foot to the left","['beaky', 'square on back', 'kicking foot to the left']"
57,"praying facing right, zig zag legs, hands to right","['praying facing right', 'zig zag legs', 'hands to right']"
58,"flat back, and feet, facing left, looks like someone standing at a podium about to graduate","['flat back', 'feet', 'facing left', 'someone standing at a podium about to graduate']"
59,"kneeling, both arms stretched at sides, facing right, feet behind to left, sipping from a cup","['kneeling', 'both arms stretched at sides', 'facing right', 'feet behind to left', 'sipping from a cup']"
60,"praying, looking right, feet up behind, not zigzag legs","['praying', 'looking right', 'feet up behind', 'not zigzag legs']"
61,"flat back, flat legs, pointing left, like at podium","['flat back', 'flat legs', 'pointing left', 'like at podium']"
62,"beaky, square on back, leg kicking up in front to the left","['beaky', 'square on back', 'leg kicking up in front to the left']"
63,bunny looking right,['bunny looking right']
64,"no arms, no legs, like letter i with bend at bottom","['no arms', 'no legs', 'like letter i with bend at bottom']"
65,"zigzag legs, arms pointing right","['zigzag legs', 'arms pointing right']"
66,"sipping cup, kneeling, legs to left behind","['sipping cup', 'kneeling', 'legs to left behind']"
