,text,gpt_out
0,"arms extended, on leg forward, one leg backwards, both legs on ground, right leg slightly higher, arms are head level, pointed slightly up, back leg is thicc, front leg is a triangle","['arms extended', 'one leg forward', 'one leg backwards', 'both legs on ground', 'right leg slightly higher', 'arms are head level', 'pointed slightly up', 'back leg is thicc', 'front leg is a triangle']"
1,"one left straight on the floor, back leg pointed back at a 90 degree angle, arms forward, head tilted back, two triangle arms, one arm below the other","['one left straight on the floor', 'back leg pointed back at a 90 degree angle', 'arms forward', 'head tilted back', 'two triangle arms', 'one arm below the other']"
2,"sat on the floor, knees up to the chest, diamond head, thicc body, like a triangle on a rectangle, they look pensive, like they might be waiting, you can clearly see legs","['sat on the floor', 'knees up to the chest', 'diamond head', 'thicc body', 'like a triangle on a rectangle', 'they look pensive', 'like they might be waiting', 'you can clearly see legs']"
3,"this is a weird one, the most square kinda body, tiny little triangle arm, only one arm, only one foot, diamond head, ya boi be thicc, his lift side is very rectangular, and right side is where the right arm and leg is, strong penguin vibes","['the most square kinda body', 'tiny little triangle arm', 'only one arm', 'only one foot', 'diamond head', 'ya boi be thicc', 'his left side is very rectangular', 'right side is where the right arm and leg is', 'strong penguin vibes']"
4,"he's doing that like spooky ghost pose, both arms are together points to the left, like elbows high, hands down, one leg is flat on the floor, the other leg is raised to the right, in a straight line, his head is a square, but as if he looking backwards, Strong zombie vibes","['spooky ghost pose', 'both arms are together points to the left, like elbows high, hands down', 'one leg is flat on the floor', 'the other leg is raised to the right, in a straight line', 'his head is a square, but as if he looking backwards', 'Strong zombie vibes']"
5,"priest vibes, he's stood up straight, Long sleevy stevey, tiny little triangle foot, diamond head, Religious boi, both arms are together, stood up straight, standing, with real smol hands, not penguin boi, this one's more triangular","['priest vibes', ""he's stood up straight"", 'Long sleevy stevey', 'tiny little triangle foot', 'diamond head', 'Religious boi', 'both arms are together', 'stood up straight', 'standing', 'with real smol hands', 'not penguin boi', ""this one's more triangular""]"
6,"this dudes in a sleeping bag, like a worm with a triangle head, looks real cosy, he's got like, most of his body is straight, then his feet are like point out to the right, yeah little wormy end haha, he's got no arms, he's kinda sitting, no ears, like he's got legs","['a sleeping bag', 'a worm with a triangle head', 'real cosy', 'most of his body is straight', 'his feet are like point out to the right', 'little wormy end', 'no arms', 'kinda sitting', 'no ears', 'he's got legs']"
7,"he's facing right, he's got one big triangle arm, flat on the top, and he's bent his knees, he's more stood up, but with bent knees, yeah the heads kinda sand timer, but the bottom of it, is flat, but their legs are pointed up, not that one, the one with the flat feet, only to the right, that back is flat","['he's facing right', 'he's got one big triangle arm, flat on the top', 'he's bent his knees', 'he's more stood up, but with bent knees', 'yeah the heads kinda sand timer, but the bottom of it, is flat', 'but their legs are pointed up', 'not that one, the one with the flat feet', 'only to the right', 'that back is flat']"
8,"bunny ears, sat on the floor, head slumped down, no arms","['bunny ears', 'sat on the floor', 'head slumped down', 'no arms']"
9,"this is tricky, mad shapes, shes goes one arm to the right, that is a big triangle, only just connected, the other arm points to the left, little foot on the left yeah, kneeling yes, thing knees, *thicc","['mad shapes', 'one arm to the right', 'big triangle, only just connected', 'other arm points to the left', 'little foot on the left', 'kneeling', 'thing knees', '*thicc']"
10,"oh snap, looks like he's mid flight, he's flailing his arms, no legs, He's gonna faceplant, long boi, two arms, a head and a body, arms in the air yeah","['he's mid flight', 'he's flailing his arms', 'no legs', ""He's gonna faceplant"", 'long boi', 'two arms', 'a head and a body', 'arms in the air']"
11,"oh it's the praying bird, with her little feet point up, arms out pointing right, flat top to the arms, a little hump in the top of her back, feet pointing up yeah, one clear head","['praying bird', 'little feet point up', 'arms out pointing right', 'flat top to the arms', 'a little hump in the top of her back', 'feet pointing up', 'one clear head']"
12,"Dancing like figure skating, left leg pointing out to the right, one foot on ground","['Dancing like figure skating', 'left leg pointing out to the right', 'one foot on ground']"
13,"kneeling feet straight up, arms to the right, diamond head, yes, praying bird, little hump on back","['kneeling feet straight up', 'arms to the right', 'diamond head', 'praying bird', 'little hump on back']"
14,"priest vibes again lol, diamond head, facing left, flat back, sleevy stevey, pointing left","['diamond head', 'facing left', 'flat back', 'sleevy stevey', 'pointing left']"
15,"kneeling to the right, more or less crouching, diamond head, triangle arms to the right, slightly couched, flat back, like the first one, but slightly raised up, not disconnected, bent legs","['kneeling to the right', 'more or less crouching', 'diamond head', 'triangle arms to the right', 'slightly couched', 'flat back', 'like the first one, but slightly raised up', 'not disconnected', 'bent legs']"
16,"more of a square head, one triangle arm on right side, upwards, and one downish, slightly,, i'd have to say knees on ground, maybe more on their ass, one barely connected triangle bottom right, thicc bottom","['more of a square head', 'one triangle arm on right side, upwards', 'one downish, slightly', 'knees on ground', 'maybe more on their ass', 'one barely connected triangle bottom right', 'thicc bottom']"
17,"sleeping bag dude, wormy boi, diamond head, thick body no arms","['sleeping bag dude', 'wormy boi', 'diamond head', 'thick body no arms']"
18,bunny ears,['bunny ears']
