...1,text,gpt_out,out
0,"looks like a person leaning towards the left, two arms in the air","a person leaning towards the left, two arms in the air","[-looks like-]a person leaning towards the left, two arms in the air"
1,the image where there is it has a cube (i e the most cube-shaped body) for a body with a point sticking out pointing towards the right,a cube for a body with a point sticking out pointing towards the right,[-the image where there is it has-]a cube [-(i e the most cube-shaped body)-] for a body with a point sticking out pointing towards the right
2,"diamond on the top, followed by a triangle which is separate and only linked by its point to the other shapes - i e there are three shapes, each linked by only one point","diamond on the top, triangle which is separate and only linked by its point to the other shapes, three shapes, each linked by only one point","diamond on the top, [-followed by a-] triangle which is separate and only linked by its point to the other [-shapes - i e-] {+shapes,+} there are three shapes, each linked by only one point"
3,diamond on top; has a hexagon-ish shaped body which has a protrusion at the bottom that looks like a triangle pointing towards the right,"diamond on top, hexagon-ish shaped body, protrusion at the bottom, triangle pointing towards the right","diamond on [-top; has a-] {+top,+} hexagon-ish shaped [-body which has a-] {+body,+} protrusion at the [-bottom that looks like a-] {+bottom,+} triangle pointing towards the right"
4,looks like a bunny - two triangles on top of the cube diamond with a triangular shaped body,"a bunny, two triangles on top of the cube diamond, triangular shaped body","[-looks like-]a [-bunny --] {+bunny,+} two triangles on top of the cube [-diamond with a-] {+diamond,+} triangular shaped body"
5,main body is composed of two triangles pointing left; looks like it is standing on one leg; has a 'tail' which is a triangle,"main body is composed of two triangles pointing left, it is standing on one leg, has a tail which is a triangle","main body is composed of two triangles pointing [-left;-] {+left,+} looks like it is standing on one [-leg;-] {+leg,+} has a [-'tail'-] {+tail+} which is a triangle"
6,looks like a person sitting facing the left; legs at a 90 degree angle,a person sitting facing the left; legs at a 90 degree angle,[-looks like-]a person sitting facing the left; legs at a 90 degree angle
7,"a weirdly shaped body (not the rabbit one again) which has 3 offshoots - a cube, and two triangles both on the right side of the image","a weirdly shaped body, 3 offshoots - a cube, and two triangles both on the right","a weirdly shaped [-body (not the rabbit one again) which has-] {+body,+} 3 offshoots - a cube, and two triangles both on the right side of the image"
8,"diamond on the top connected by its point to another shape; does not look like a person facing right; has a jagged edge towards the bottom left, the diamond on the top looks like it's connected to another diamond, it looks like there's a chunk taken out of the image on the left, where its just white","diamond on the top connected by its point to another shape, does not look like a person facing right, has a jagged edge towards the bottom left, the diamond on the top looks like its connected to another diamond,   a chunk taken out of the image on the left, where its just white","diamond on the top connected by its point to another [-shape;-] {+shape,+} does not look like a person facing [-right;-] {+right,+} has a jagged edge towards the bottom left, the diamond on the top looks like [-it's-] {+its+} connected to another diamond, [-it looks like there's-]  {++} a chunk taken out of the image on the left, where its just white"
9,"looks like a person facing left with arms raised parallel to the ground, main body looks like a pentagon with a triangular bit at the bottom that looks like feet, arms are formed by a triangle and a cube off the main body","a person facing left with arms raised parallel to the ground, main body looks like a pentagon with a triangular bit at the bottom that looks like feet, arms are formed by a triangle and a cube off the main body","[-looks like-]a person facing left with arms raised parallel to the ground, main body looks like a pentagon with a triangular bit at the bottom that looks like feet, arms are formed by a triangle and a cube off the main body"
10,"looks like a person, diamond head, looks like they are kneeling, with a triangular piece pointing towards the right which looks like arms, kneeling to the right, not quite","a person, diamond head, they are kneeling, a triangular piece pointing towards the right, arms, kneeling to the right","[-looks like-]a person, diamond head, [-looks like-] they are kneeling, [-with-] a triangular piece pointing towards the [-right which-] {+right,+} looks like arms, kneeling to the [-right, not quite-] {+right+}"
11,"last one; if you've been keeping track you can get it by process of elimination - its the one where it looks like it has two legs where the feet are represented by triangles, cube diamond is towards the top right, attached to the main body by only its point","it has two legs where the feet are represented by triangles, cube diamond is towards the top right, attached to the main body by only its point","[-last one; if you've been keeping track you can get it by process of elimination - its the one where it looks like-]it has two legs where the feet are represented by triangles, cube diamond is towards the top right, attached to the main body by only its point"
12,"This one is like a creature walking to the left with one foot raised, Diamond connected in one spot on its back","a creature walking to the left with one foot raised, Diamond connected in one spot on its back","[-This one is like-]a creature walking to the left with one foot raised, Diamond connected in one spot on its back"
13,"This does not look like a person, Has a square in the upper left which connects to the main figure, and two triangles on the right connected to the figure","Has a square in the upper left which connects to the main figure, two triangles on the right connected to the figure","[-This does not look like a person,-]Has a square in the upper left which connects to the main figure, [-and-] two triangles on the right connected to the figure"
14,"Looks like a person with one leg raised behind it and two triangle arms forward, facing left","a person with one leg raised behind it, two triangle arms forward, facing left","[-Looks like-]a person with one leg raised behind [-it and-] {+it,+} two triangle arms forward, facing left"
15,One big six sided diamond shape with a diamond at the top and a triangle facing right on the bottom right,One big six sided diamond shape with a diamond at the top and a triangle facing right on the bottom right,One big six sided diamond shape with a diamond at the top and a triangle facing right on the bottom right
16,"Looks like a rabbit, Two triangle ears","a rabbit, Two triangle ears","Looks like a rabbit, Two triangle ears"
17,"Looks similar to another figure; looks like the one which is kneeling partially to the right but this one has a tail, the bottom left of the figure is a large triangle, to me it looks like a woman holding a bowl out to the right","the one which is kneeling partially to the right but this one has a tail, the bottom left is a large triangle,  a woman holding a bowl out to the right","[-Looks similar to another figure; looks like-]the one which is kneeling partially to the right but this one has a tail, the bottom left of the figure is a large triangle, [-to me it looks like-]  a woman holding a bowl out to the right"
18,"This is a large black square with a diamond balanced on top, diamond is balanced on a long flat surface at the top","a large black square, a diamond balanced on top, diamond is balanced on a long flat surface at the top","[-This is-]a large black [-square with-] {+square,+} a diamond balanced on top, diamond is balanced on a long flat surface at the top"
19,Person leaning to the left with arms in the air,Person leaning to the left with arms in the air,Person leaning to the left with arms in the air
20,"This is the person partially kneeling to the right, legs are bent but not all the way on ground","person partially kneeling to the right, legs are bent but not all the way on ground","[-This is the-]person partially kneeling to the right, legs are bent but not all the way on ground"
21,"This is one that has three shapes meeting at the top at a single point, two triangles and a diamond meeting at one point","three shapes meeting at the top at a single point, two triangles and a diamond meeting at one point","[-This is one that has-]three shapes meeting at the top at a single point, two triangles and a diamond meeting at one point"
22,"This looks like a person standing facing left holding a bowl, diamond head, thick leg area","a person standing facing left, holding a bowl, diamond head, thick leg area","[-This looks like-]a person standing facing [-left-] {+left,+} holding a bowl, diamond head, thick leg area"
23,"Looks like someone sitting on the ground facing left, knees up in the air feet on the ground in front of him","someone sitting on the ground facing left, knees up in the air feet on the ground in front of him","[-Looks like-]someone sitting on the ground facing left, knees up in the air feet on the ground in front of him"
24,"Looks like a person falling backwards with a diamond head and diamond hands, They are leaning to the left","a person falling backwards with a diamond head and diamond hands,  leaning to the left","[-Looks like-]a person falling backwards with a diamond head and diamond hands, They are leaning to the left"
25,"Diamond head looks like they are kneeling to the right with a triangle hand pointing right, hexagon body, looks like they are squatting down slightly, No, it is a flat point to the left","Diamond head, kneeling to the right with a triangle hand pointing right, hexagon body, squatting down slightly, a flat point to the left","Diamond head looks like they are kneeling to the right with a triangle hand pointing right, hexagon body, looks like they are squatting down slightly, No, it is a flat point to the left"
26,Two legs looks like one is kicking in the air facing left,"Two legs, one is kicking in the air facing left",Two legs looks like one is kicking in the air facing left
27,"Has a square attached to the top right and two small triangles attached (one to the top right and one hanging off the body at the bottom right), Yes, it is attached to a triangle","Has a square attached to the top right, two small triangles attached (one to the top right and one hanging off the body at the bottom right), attached to a triangle","Has a square attached to the top [-right and-] {+right,+} two small triangles attached (one to the top right and one hanging off the body at the bottom right), [-Yes, it is-] attached to a triangle"
28,Looks like a ballet dancer with two hands facing left and a leg lifted in the air facing right,a ballet dancer with two hands facing left and a leg lifted in the air facing right,[-Looks like-]a ballet dancer with two hands facing left and a leg lifted in the air facing right
29,looks like a rabbit sitting down,a rabbit sitting down,[-looks like-]a rabbit sitting down
30,"Looks like a bunch of random shapes all attached together (doesn't look like a person or anything), Has a square at the top","a bunch of random shapes all attached together, a square at the top","[-Looks like-]a bunch of random shapes all attached [-together (doesn't look like a person or anything), Has-] {+together,+} a square at the top"
